epoch,batch,train_loss,train_accuracy
0.0,0.0,3.5682666,0.0
1.0,1.0,3.721788,0.03125
1.0,2.0,3.5402713,0.0625
1.0,3.0,3.493849,0.0625
1.0,4.0,3.7583184,0.0625
1.0,5.0,3.7575076,0.03125
1.0,6.0,3.4886239,0.0625
1.0,7.0,3.6837916,0.0
1.0,8.0,3.629864,0.09375
1.0,9.0,3.4730866,0.0625
1.0,10.0,3.240405,0.15625
1.0,11.0,3.2917175,0.0625
1.0,12.0,3.3214374,0.09375
1.0,13.0,3.2546663,0.0625
1.0,14.0,3.3622475,0.09375
1.0,15.0,3.3061311,0.03125
1.0,16.0,3.2319567,0.09375
1.0,17.0,3.4251924,0.0
1.0,18.0,3.0636997,0.15625
1.0,19.0,3.024523,0.1875
1.0,20.0,3.231489,0.03125
1.0,21.0,2.9807968,0.09375
1.0,22.0,3.1011086,0.125
1.0,23.0,3.0572197,0.15625
1.0,24.0,3.0158165,0.28125
1.0,25.0,2.6723967,0.25
1.0,26.0,2.8316145,0.15625
1.0,27.0,2.5833151,0.25
1.0,28.0,2.8680627,0.21875
1.0,29.0,2.8958907,0.1875
1.0,30.0,2.5851514,0.3125
1.0,31.0,2.7335162,0.25
1.0,32.0,2.7386236,0.28125
1.0,33.0,2.698892,0.21875
1.0,34.0,2.7159464,0.25
1.0,35.0,2.7838373,0.25
1.0,36.0,2.494274,0.53125
1.0,37.0,2.6622698,0.25
1.0,38.0,2.7790673,0.3125
1.0,39.0,2.4968514,0.40625
1.0,40.0,2.582051,0.375
1.0,41.0,2.5956104,0.34375
1.0,42.0,2.4359229,0.375
1.0,43.0,2.491618,0.4375
1.0,44.0,2.4593873,0.34375
1.0,45.0,2.32757,0.4375
1.0,46.0,2.569529,0.3125
1.0,47.0,2.5585985,0.3125
1.0,48.0,2.269071,0.5625
1.0,49.0,2.1783688,0.5625
1.0,50.0,2.4468634,0.53125
1.0,51.0,2.1540751,0.53125
1.0,52.0,2.4491835,0.4375
1.0,53.0,2.2041297,0.46875
1.0,54.0,2.2607644,0.4375
1.0,55.0,2.1880474,0.5625
1.0,56.0,2.3688874,0.40625
1.0,57.0,2.355073,0.40625
1.0,58.0,2.2770147,0.5
1.0,59.0,2.2050328,0.5
1.0,60.0,2.140523,0.5625
1.0,61.0,2.215733,0.4375
1.0,62.0,2.1139524,0.5
1.0,63.0,2.1613522,0.5
1.0,64.0,2.130406,0.4375
1.0,65.0,2.129728,0.5
1.0,66.0,1.9703093,0.59375
1.0,67.0,2.1835315,0.53125
1.0,68.0,2.1860263,0.46875
1.0,69.0,1.9062487,0.625
1.0,70.0,1.9693211,0.625
1.0,71.0,1.9965612,0.625
1.0,72.0,1.9474572,0.5625
1.0,73.0,2.268897,0.4375
1.0,74.0,1.9279834,0.53125
1.0,75.0,2.1366885,0.46875
1.0,76.0,1.8168163,0.59375
1.0,77.0,1.9401041,0.53125
1.0,78.0,1.7600285,0.625
1.0,79.0,2.0850766,0.59375
1.0,80.0,2.0827682,0.46875
1.0,81.0,1.9024781,0.625
1.0,82.0,1.7648226,0.6875
1.0,83.0,1.9612335,0.5
1.0,84.0,1.8581512,0.53125
1.0,85.0,1.9525564,0.53125
1.0,86.0,1.9528912,0.59375
1.0,87.0,1.7064775,0.6875
1.0,88.0,1.601629,0.75
1.0,89.0,2.0366843,0.5625
1.0,90.0,1.8894331,0.625
1.0,91.0,1.6431872,0.625
1.0,92.0,1.7174708,0.6875
1.0,93.0,1.725137,0.53125
1.0,94.0,1.5916615,0.65625
