X,Y,标注类别名称,预测类别,图像路径
-0.97097516,4.0825,哈密瓜,柚子,fruit30_split/val/哈密瓜/106.jpg
-1.3422755,0.51297975,哈密瓜,桂圆,fruit30_split/val/哈密瓜/109.jpg
-0.11360849,2.3269465,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/114.jpg
-0.2655827,4.1647596,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/116.jpg
-3.1222227,0.41507486,哈密瓜,柚子,fruit30_split/val/哈密瓜/118.png
-0.7962231,4.4596767,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/123.jpg
-0.9122587,4.245683,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/127.jpg
-0.9764832,1.0044233,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/129.jpg
-0.11552676,3.0296385,哈密瓜,芒果,fruit30_split/val/哈密瓜/131.jpg
-3.158675,2.162668,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/133.jpg
0.29470783,3.468145,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/136.jpg
-0.4034267,2.9836545,哈密瓜,柠檬,fruit30_split/val/哈密瓜/137.jpg
-3.190872,2.112608,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/14.jpg
-0.07274365,3.6951778,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/144.jpg
-1.0080761,3.8203187,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/145.jpg
-0.8285839,4.4494777,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/152.jpg
-0.015439205,2.9753156,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/163.jpg
-0.32819104,4.2691536,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/164.jpg
-0.7219931,4.313133,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/173.jpg
-3.0576313,2.7577024,哈密瓜,柚子,fruit30_split/val/哈密瓜/178.jpg
-1.0527134,1.091536,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/182.jpg
