X,Y,Z,标注类别名称,预测类别,图像路径
0.4745752,2.4851942,2.0028822,哈密瓜,柚子,fruit30_split/val/哈密瓜/106.jpg
0.6992128,0.43492544,4.779024,哈密瓜,桂圆,fruit30_split/val/哈密瓜/109.jpg
0.833266,3.1152108,3.1706064,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/114.jpg
1.1370009,2.91835,1.8638701,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/116.jpg
2.361021,0.7954017,4.7416887,哈密瓜,柚子,fruit30_split/val/哈密瓜/118.png
0.8075705,2.3238487,1.5866605,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/123.jpg
0.59458125,2.333073,1.8125002,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/127.jpg
0.7111731,0.34957346,4.4864383,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/129.jpg
1.1713985,2.6113114,3.1226625,哈密瓜,芒果,fruit30_split/val/哈密瓜/131.jpg
1.5561796,0.6385371,3.545786,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/133.jpg
1.5833777,2.58525,2.2968042,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/136.jpg
0.7664317,2.9517186,2.7147071,哈密瓜,柠檬,fruit30_split/val/哈密瓜/137.jpg
1.6558309,0.64420414,3.5349288,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/14.jpg
1.3056827,2.6364253,2.2604914,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/144.jpg
1.0013968,2.5729997,2.2406454,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/145.jpg
0.80920637,2.3217964,1.6029667,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/152.jpg
1.2832937,2.5378923,3.1134684,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/163.jpg
1.2414687,2.4420657,1.649478,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/164.jpg
0.91550577,2.2375982,1.6911844,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/173.jpg
0.7856029,0.6384096,3.038856,哈密瓜,柚子,fruit30_split/val/哈密瓜/178.jpg
0.7158788,0.35030153,4.4623346,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/182.jpg
1.021604,2.776058,3.1325245,哈密瓜,芒果,fruit30_split/val/哈密瓜/25.jpg
0.59788,2.3010037,1.8116027,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/29.png
0.79681724,2.4951763,1.7609535,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/38.jpg
0.6431195,0.4201953,3.2792146,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/44.jpg
1.0346782,2.248978,1.8996432,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/46.jpg
4.101499,3.2179227,4.2630224,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/48.jpg
2.5544229,0.0026494665,5.205512,哈密瓜,桂圆,fruit30_split/val/哈密瓜/56.jpg
1.2340553,2.575922,3.0493996,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/63.jpg
1.1353103,2.1361043,2.12114,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/66.jpg
1.2546695,2.546903,2.9985223,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/7.jpg
0.75595313,2.2968917,1.6290607,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/70.jpg
0.86506957,2.3024228,1.6613103,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/75.jpg
1.2003065,2.4572282,1.6189623,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/84.jpg
1.7046705,2.3049667,2.5447288,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/9.jpg
1.6725178,0.8710163,3.3387716,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/90.jpg
0.7578927,3.0664656,3.0554736,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/91.jpg
1.1638429,2.9185565,1.8740569,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/.ipynb_checkpoints/116-checkpoint.jpg
0.17391206,2.861511,6.0114594,圣女果,西红柿,fruit30_split/val/圣女果/100.jpeg
1.7209368,2.5003276,6.80522,圣女果,圣女果,fruit30_split/val/圣女果/102.jpeg
0.8336454,3.0587292,6.6072836,圣女果,圣女果,fruit30_split/val/圣女果/114.jpg
0.5141288,3.0710316,6.284336,圣女果,圣女果,fruit30_split/val/圣女果/12.jpg
0.51880044,3.150141,6.496667,圣女果,西红柿,fruit30_split/val/圣女果/132.png
0.25096244,3.1287642,6.3578,圣女果,圣女果,fruit30_split/val/圣女果/135.jpeg
0.9310942,3.1791162,6.7481747,圣女果,圣女果,fruit30_split/val/圣女果/138.jpeg
1.6324592,2.2926674,6.5846696,圣女果,圣女果,fruit30_split/val/圣女果/144.jpeg
0.92864424,3.167469,6.7096066,圣女果,西红柿,fruit30_split/val/圣女果/150.jpg
1.2291224,3.1679833,6.6893106,圣女果,圣女果,fruit30_split/val/圣女果/151.jpg
0.52403677,3.0393186,6.132961,圣女果,西红柿,fruit30_split/val/圣女果/161.jpg
1.1370271,2.9404268,6.600127,圣女果,圣女果,fruit30_split/val/圣女果/163.jpg
1.1905745,3.1310425,6.5400615,圣女果,圣女果,fruit30_split/val/圣女果/175.png
0.4572878,2.479197,5.8469944,圣女果,西红柿,fruit30_split/val/圣女果/181.jpg
0.45346883,2.772333,3.122971,圣女果,西红柿,fruit30_split/val/圣女果/182.jpg
0.537923,3.0170064,6.466406,圣女果,圣女果,fruit30_split/val/圣女果/191.jpg
0.29593801,3.0563755,6.413416,圣女果,圣女果,fruit30_split/val/圣女果/196.jpg
1.3578974,2.9549127,5.2201285,圣女果,西红柿,fruit30_split/val/圣女果/22.jpg
0.8437863,3.0985916,6.5586753,圣女果,圣女果,fruit30_split/val/圣女果/26.jpg
0.1381418,2.862043,6.0259733,圣女果,脐橙,fruit30_split/val/圣女果/27.jpg
1.3793083,2.1501038,6.497595,圣女果,圣女果,fruit30_split/val/圣女果/28.jpg
1.7634189,2.4956725,6.418497,圣女果,圣女果,fruit30_split/val/圣女果/31.jpg
0.6600361,2.3845193,5.9164305,圣女果,砂糖橘,fruit30_split/val/圣女果/35.jpg
1.5491824,2.5990462,6.760618,圣女果,圣女果,fruit30_split/val/圣女果/39.jpeg
1.0354784,3.211643,6.7311244,圣女果,圣女果,fruit30_split/val/圣女果/42.jpg
1.0192252,3.1740155,6.657315,圣女果,圣女果,fruit30_split/val/圣女果/44.jpg
1.3254112,2.3837934,6.646266,圣女果,圣女果,fruit30_split/val/圣女果/48.jpeg
0.6661304,3.3170402,6.153882,圣女果,圣女果,fruit30_split/val/圣女果/53.jpg
0.88674986,3.238071,6.62703,圣女果,黄瓜,fruit30_split/val/圣女果/56.jpg
0.8981772,3.021043,6.592566,圣女果,西红柿,fruit30_split/val/圣女果/58.jpg
1.0651675,3.211031,6.720082,圣女果,圣女果,fruit30_split/val/圣女果/60.jpeg
