X,Y,标注类别名称,预测类别,图像路径
28.750668,13.468358,哈密瓜,柚子,fruit30_split/val/哈密瓜/106.jpg
0.1300249,17.642849,哈密瓜,桂圆,fruit30_split/val/哈密瓜/109.jpg
15.105215,5.8443537,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/114.jpg
48.01762,0.2078388,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/116.jpg
-9.501915,17.861477,哈密瓜,柚子,fruit30_split/val/哈密瓜/118.png
33.135494,17.102093,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/123.jpg
29.922777,15.286204,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/127.jpg
18.909512,-30.297901,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/129.jpg
38.362835,30.4704,哈密瓜,芒果,fruit30_split/val/哈密瓜/131.jpg
-18.486343,32.032787,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/133.jpg
7.7176323,-1.9284344,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/136.jpg
29.48094,10.178543,哈密瓜,柠檬,fruit30_split/val/哈密瓜/137.jpg
-18.442621,32.74036,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/14.jpg
30.506428,11.760329,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/144.jpg
-18.524,35.3483,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/145.jpg
32.252926,17.012314,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/152.jpg
41.1249,30.916376,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/163.jpg
36.155697,17.013636,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/164.jpg
33.81407,15.542752,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/173.jpg
5.780402,9.389724,哈密瓜,柚子,fruit30_split/val/哈密瓜/178.jpg
19.011732,-30.161743,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/182.jpg
35.324436,30.678913,哈密瓜,芒果,fruit30_split/val/哈密瓜/25.jpg
29.860458,15.326188,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/29.png
31.91038,14.750325,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/38.jpg
7.658386,9.185956,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/44.jpg
35.519608,19.696447,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/46.jpg
-24.019487,-38.050934,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/48.jpg
10.031033,28.40245,哈密瓜,桂圆,fruit30_split/val/哈密瓜/56.jpg
38.530296,30.977802,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/63.jpg
35.539284,20.015314,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/66.jpg
40.918793,30.608604,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/7.jpg
32.01638,16.980755,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/70.jpg
33.71526,15.102654,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/75.jpg
36.41014,15.68155,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/84.jpg
4.2608485,0.25850135,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/9.jpg
-18.551096,34.169613,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/90.jpg
15.007062,5.843419,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/91.jpg
48.01766,0.20776704,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/.ipynb_checkpoints/116-checkpoint.jpg
-25.169746,22.20947,圣女果,西红柿,fruit30_split/val/圣女果/100.jpeg
-38.766956,4.6621776,圣女果,圣女果,fruit30_split/val/圣女果/102.jpeg
-28.420143,12.492537,圣女果,圣女果,fruit30_split/val/圣女果/114.jpg
-35.053158,20.397642,圣女果,圣女果,fruit30_split/val/圣女果/12.jpg
-29.347355,15.106743,圣女果,西红柿,fruit30_split/val/圣女果/132.png
-29.634405,21.523071,圣女果,圣女果,fruit30_split/val/圣女果/135.jpeg
-36.214745,12.056697,圣女果,圣女果,fruit30_split/val/圣女果/138.jpeg
-38.704796,8.609833,圣女果,圣女果,fruit30_split/val/圣女果/144.jpeg
-36.31498,14.344817,圣女果,西红柿,fruit30_split/val/圣女果/150.jpg
-33.053436,8.485959,圣女果,圣女果,fruit30_split/val/圣女果/151.jpg
-36.38456,20.848957,圣女果,西红柿,fruit30_split/val/圣女果/161.jpg
-35.468906,7.2050424,圣女果,圣女果,fruit30_split/val/圣女果/163.jpg
-30.903164,10.659962,圣女果,圣女果,fruit30_split/val/圣女果/175.png
-21.32545,21.706589,圣女果,西红柿,fruit30_split/val/圣女果/181.jpg
26.912096,8.360399,圣女果,西红柿,fruit30_split/val/圣女果/182.jpg
-26.254763,16.676273,圣女果,圣女果,fruit30_split/val/圣女果/191.jpg
-25.964863,17.719706,圣女果,圣女果,fruit30_split/val/圣女果/196.jpg
-23.181717,-1.0594211,圣女果,西红柿,fruit30_split/val/圣女果/22.jpg
-33.577847,12.735543,圣女果,圣女果,fruit30_split/val/圣女果/26.jpg
-26.035517,23.014437,圣女果,脐橙,fruit30_split/val/圣女果/27.jpg
-39.140118,9.468325,圣女果,圣女果,fruit30_split/val/圣女果/28.jpg
-30.06259,8.467883,圣女果,圣女果,fruit30_split/val/圣女果/31.jpg
-7.3917136,28.265368,圣女果,砂糖橘,fruit30_split/val/圣女果/35.jpg
-41.205814,6.9357605,圣女果,圣女果,fruit30_split/val/圣女果/39.jpeg
-32.89855,10.364758,圣女果,圣女果,fruit30_split/val/圣女果/42.jpg
-32.941326,11.933346,圣女果,圣女果,fruit30_split/val/圣女果/44.jpg
-39.68575,10.294281,圣女果,圣女果,fruit30_split/val/圣女果/48.jpeg
-31.695574,14.943205,圣女果,圣女果,fruit30_split/val/圣女果/53.jpg
14.326331,-20.799845,圣女果,黄瓜,fruit30_split/val/圣女果/56.jpg
