X,Y,Z,标注类别名称,预测类别,图像路径
160.06602,-295.90845,-73.77424,哈密瓜,柚子,fruit30_split/val/哈密瓜/106.jpg
-114.15008,-28.226063,-438.90515,哈密瓜,桂圆,fruit30_split/val/哈密瓜/109.jpg
29.681345,-135.614,179.593,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/114.jpg
335.3548,-192.65935,42.843052,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/116.jpg
7.2865405,280.8465,83.7505,哈密瓜,柚子,fruit30_split/val/哈密瓜/118.png
280.68637,-319.87988,9.049296,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/123.jpg
172.27455,-321.58838,-18.30699,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/127.jpg
-124.09629,-63.63033,-476.97028,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/129.jpg
187.79237,-250.4711,306.29504,哈密瓜,芒果,fruit30_split/val/哈密瓜/131.jpg
-447.4479,-172.57219,-66.71798,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/133.jpg
178.16638,-176.22653,-65.34777,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/136.jpg
80.150215,-291.14487,-37.957073,哈密瓜,柠檬,fruit30_split/val/哈密瓜/137.jpg
-425.12372,-203.5292,-48.496967,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/14.jpg
171.87581,-219.8591,-35.179665,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/144.jpg
-125.76146,-403.40308,-153.44614,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/145.jpg
237.77419,-327.12344,20.167442,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/152.jpg
270.97675,-208.12701,310.49356,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/163.jpg
237.90172,-212.74133,13.985976,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/164.jpg
267.05597,-270.5771,-11.654983,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/173.jpg
-7.536525,-199.89168,-97.01948,哈密瓜,柚子,fruit30_split/val/哈密瓜/178.jpg
-103.13868,-95.3025,-470.77832,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/182.jpg
146.68515,-192.81168,295.55753,哈密瓜,芒果,fruit30_split/val/哈密瓜/25.jpg
169.37161,-293.67554,1.4310241,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/29.png
209.90219,-281.92978,-34.689274,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/38.jpg
13.642653,-241.55412,-142.92197,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/44.jpg
203.38768,-251.75523,50.9188,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/46.jpg
142.66382,429.13998,152.92317,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/48.jpg
-347.99408,380.94116,41.548656,哈密瓜,桂圆,fruit30_split/val/哈密瓜/56.jpg
207.13005,-232.42451,334.7669,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/63.jpg
189.62033,-242.93393,84.9353,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/66.jpg
247.26176,-215.16074,280.87524,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/7.jpg
238.40608,-342.61996,-13.958565,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/70.jpg
258.66113,-271.2743,-47.53204,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/75.jpg
269.06256,-207.0978,-28.30693,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/84.jpg
268.5745,-252.72464,112.023346,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/9.jpg
-171.83115,-412.74036,-162.02747,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/90.jpg
35.127277,-103.2545,167.96704,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/91.jpg
318.62756,-221.4842,50.48843,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/.ipynb_checkpoints/116-checkpoint.jpg
-6.726593,140.06763,-8.168725,圣女果,西红柿,fruit30_split/val/圣女果/100.jpeg
-185.0063,265.15338,-219.70222,圣女果,圣女果,fruit30_split/val/圣女果/102.jpeg
-61.912056,151.54659,-117.07044,圣女果,圣女果,fruit30_split/val/圣女果/114.jpg
25.358429,126.10886,-142.1728,圣女果,圣女果,fruit30_split/val/圣女果/12.jpg
-12.053633,165.41827,-101.19186,圣女果,西红柿,fruit30_split/val/圣女果/132.png
21.471962,203.09883,-56.596024,圣女果,圣女果,fruit30_split/val/圣女果/135.jpeg
-33.625397,172.98018,-241.46567,圣女果,圣女果,fruit30_split/val/圣女果/138.jpeg
-173.36911,200.05595,-265.509,圣女果,圣女果,fruit30_split/val/圣女果/144.jpeg
57.88002,229.88292,-262.6327,圣女果,西红柿,fruit30_split/val/圣女果/150.jpg
-32.357098,271.05862,-281.29642,圣女果,圣女果,fruit30_split/val/圣女果/151.jpg
60.730145,100.19328,-168.10562,圣女果,西红柿,fruit30_split/val/圣女果/161.jpg
-82.88825,201.23628,-150.06844,圣女果,圣女果,fruit30_split/val/圣女果/163.jpg
-399.89032,110.42315,205.6784,圣女果,圣女果,fruit30_split/val/圣女果/175.png
-102.87211,116.736115,-35.10442,圣女果,西红柿,fruit30_split/val/圣女果/181.jpg
87.24763,-200.66704,381.5761,圣女果,西红柿,fruit30_split/val/圣女果/182.jpg
-293.698,57.308662,-390.05145,圣女果,圣女果,fruit30_split/val/圣女果/191.jpg
-337.71838,56.78856,-367.91702,圣女果,圣女果,fruit30_split/val/圣女果/196.jpg
-187.25124,52.58126,-296.90674,圣女果,西红柿,fruit30_split/val/圣女果/22.jpg
-22.380293,205.56618,-154.18959,圣女果,圣女果,fruit30_split/val/圣女果/26.jpg
10.755435,101.99911,5.4665384,圣女果,脐橙,fruit30_split/val/圣女果/27.jpg
-165.55159,193.34877,-308.18573,圣女果,圣女果,fruit30_split/val/圣女果/28.jpg
-219.87209,164.01662,-260.3386,圣女果,圣女果,fruit30_split/val/圣女果/31.jpg
-140.9295,142.34142,-19.0999,圣女果,砂糖橘,fruit30_split/val/圣女果/35.jpg
-127.181305,278.55304,-235.17992,圣女果,圣女果,fruit30_split/val/圣女果/39.jpeg
4.402173,279.63702,-221.27206,圣女果,圣女果,fruit30_split/val/圣女果/42.jpg
8.105728,235.64452,-176.37529,圣女果,圣女果,fruit30_split/val/圣女果/44.jpg
-122.089615,209.01997,-313.1584,圣女果,圣女果,fruit30_split/val/圣女果/48.jpeg
36.69871,219.0005,-122.76252,圣女果,圣女果,fruit30_split/val/圣女果/53.jpg
93.33958,168.82178,-246.71913,圣女果,黄瓜,fruit30_split/val/圣女果/56.jpg
-94.27924,201.63448,-79.78953,圣女果,西红柿,fruit30_split/val/圣女果/58.jpg
-41.322144,252.43437,-215.26917,圣女果,圣女果,fruit30_split/val/圣女果/60.jpeg
52.89776,234.69124,-192.78777,圣女果,圣女果,fruit30_split/val/圣女果/61.jpg
-34.194714,203.3749,-195.21906,圣女果,圣女果,fruit30_split/val/圣女果/63.jpg
-68.88859,208.84558,-259.48972,圣女果,圣女果,fruit30_split/val/圣女果/65.jpg
-123.15137,253.41302,-280.78757,圣女果,圣女果,fruit30_split/val/圣女果/71.jpeg
73.34439,239.74522,53.016457,圣女果,圣女果,fruit30_split/val/圣女果/72.jpg
-4.5012436,217.45885,-228.73386,圣女果,圣女果,fruit30_split/val/圣女果/76.jpg
123.3123,129.9192,-122.23242,圣女果,西红柿,fruit30_split/val/圣女果/88.jpg
-309.8251,-108.4016,-338.9676,山竹,山竹,fruit30_split/val/山竹/101.jpg
-184.98337,266.88013,122.50474,山竹,山竹,fruit30_split/val/山竹/105.jpg
-160.3784,-145.80562,-158.12645,山竹,山竹,fruit30_split/val/山竹/107.jpeg
-225.01033,-153.93372,-117.46719,山竹,山竹,fruit30_split/val/山竹/112.jpg
-22.898329,-418.79034,-294.8726,山竹,苹果-青,fruit30_split/val/山竹/114.jpg
-304.07666,-162.14223,-214.59456,山竹,山竹,fruit30_split/val/山竹/129.jpg
-124.94403,14.464731,-304.7859,山竹,山竹,fruit30_split/val/山竹/140.jpg
-322.02393,-86.95236,-244.43678,山竹,山竹,fruit30_split/val/山竹/143.jpg
-207.67017,-106.58188,-310.91037,山竹,山竹,fruit30_split/val/山竹/144.jpg
-224.00143,-103.99862,-409.9296,山竹,葡萄-红,fruit30_split/val/山竹/148.jpeg
-320.76154,-160.74521,-288.63492,山竹,山竹,fruit30_split/val/山竹/149.png
-254.32109,-152.13965,-215.8876,山竹,山竹,fruit30_split/val/山竹/16.jpg
-128.94131,277.5872,276.50403,山竹,山竹,fruit30_split/val/山竹/162.jpeg
-280.62015,-132.60556,-311.95615,山竹,山竹,fruit30_split/val/山竹/166.jpg
-234.54039,-91.073746,-350.1532,山竹,葡萄-红,fruit30_split/val/山竹/173.jpg
-284.48807,-240.67354,-271.06717,山竹,山竹,fruit30_split/val/山竹/174.jpg
-274.2999,-163.73248,-270.04938,山竹,山竹,fruit30_split/val/山竹/178.jpg
-225.74782,-197.84882,-244.6411,山竹,山竹,fruit30_split/val/山竹/181.jpg
-344.06653,-124.18063,-166.95247,山竹,山竹,fruit30_split/val/山竹/194.jpg
-187.03075,-81.66186,-324.953,山竹,山竹,fruit30_split/val/山竹/2.jpg
-240.06255,-113.34868,-196.40268,山竹,山竹,fruit30_split/val/山竹/24.jpg
-272.00906,-209.12619,-237.07639,山竹,山竹,fruit30_split/val/山竹/25.jpg
-167.03983,295.34412,302.7411,山竹,山竹,fruit30_split/val/山竹/33.jpg
-225.72618,-132.1599,-272.22708,山竹,山竹,fruit30_split/val/山竹/35.jpg
-209.40852,-204.26765,-281.4693,山竹,山竹,fruit30_split/val/山竹/4.jpg
-309.62637,-94.595505,-158.77696,山竹,山竹,fruit30_split/val/山竹/47.jpg
-170.29276,-45.647747,-300.87314,山竹,山竹,fruit30_split/val/山竹/5.jpg
-296.26987,-132.86009,-194.44875,山竹,山竹,fruit30_split/val/山竹/58.jpg
-157.60861,1.2744334,-265.9441,山竹,葡萄-红,fruit30_split/val/山竹/63.jpg
-279.80096,-99.270584,-229.10942,山竹,山竹,fruit30_split/val/山竹/77.jpg
-187.96907,-128.79689,-122.65677,山竹,山竹,fruit30_split/val/山竹/78.jpg
-53.669968,-276.2135,-208.74869,山竹,椰子,fruit30_split/val/山竹/79.jpg
-267.07043,-146.45134,-148.21657,山竹,山竹,fruit30_split/val/山竹/87.jpg
-259.64246,-64.147026,-284.65775,山竹,山竹,fruit30_split/val/山竹/89.jpg
-228.5463,-196.504,-129.7817,山竹,荔枝,fruit30_split/val/山竹/91.jpeg
8.443721,163.90256,332.94257,杨梅,荔枝,fruit30_split/val/杨梅/102.jpg
-155.75903,319.7472,-220.79164,杨梅,砂糖橘,fruit30_split/val/杨梅/119.jpeg
107.862885,6.5972714,408.01373,杨梅,杨梅,fruit30_split/val/杨梅/127.jpg
46.35727,63.72988,342.32098,杨梅,杨梅,fruit30_split/val/杨梅/131.jpg
334.04218,189.17905,-217.1556,杨梅,西瓜,fruit30_split/val/杨梅/138.jpg
32.426323,36.26256,392.75186,杨梅,杨梅,fruit30_split/val/杨梅/155.jpg
-52.990585,167.22408,344.22104,杨梅,杨梅,fruit30_split/val/杨梅/159.jpg
185.81325,75.54847,143.23413,杨梅,杨梅,fruit30_split/val/杨梅/16.jpg
7.1054974,99.49271,323.0035,杨梅,杨梅,fruit30_split/val/杨梅/167.jpeg
-100.3812,160.99973,339.93884,杨梅,杨梅,fruit30_split/val/杨梅/170.jpg
45.50093,184.87982,422.75012,杨梅,杨梅,fruit30_split/val/杨梅/175.jpg
-68.30553,304.37088,183.71912,杨梅,杨梅,fruit30_split/val/杨梅/178.jpg
-2.646438,29.027424,455.4607,杨梅,杨梅,fruit30_split/val/杨梅/183.jpg
125.65521,91.75264,406.53873,杨梅,杨梅,fruit30_split/val/杨梅/186.jpg
72.51933,76.661476,384.59195,杨梅,杨梅,fruit30_split/val/杨梅/19.jpg
41.18811,274.6724,227.47368,杨梅,杨梅,fruit30_split/val/杨梅/191.jpg
76.26717,47.73889,433.49637,杨梅,杨梅,fruit30_split/val/杨梅/193.png
-66.91694,-18.28506,-15.347318,杨梅,杨梅,fruit30_split/val/杨梅/195.jpg
-28.293879,335.37222,158.10622,杨梅,草莓,fruit30_split/val/杨梅/196.jpg
-67.48813,200.20331,353.7951,杨梅,杨梅,fruit30_split/val/杨梅/200.jpg
-39.577892,95.139,385.42438,杨梅,杨梅,fruit30_split/val/杨梅/25.jpg
103.39838,65.288246,366.67072,杨梅,杨梅,fruit30_split/val/杨梅/26.jpg
104.11408,125.410164,495.96478,杨梅,杨梅,fruit30_split/val/杨梅/27.jpg
-10.322843,53.91607,346.98315,杨梅,杨梅,fruit30_split/val/杨梅/36.jpg
78.72464,-37.80269,413.9171,杨梅,荔枝,fruit30_split/val/杨梅/46.jpg
62.089928,129.51897,428.51733,杨梅,杨梅,fruit30_split/val/杨梅/47.jpg
39.632812,143.68062,378.03018,杨梅,杨梅,fruit30_split/val/杨梅/5.jpg
50.041557,115.19521,356.1652,杨梅,杨梅,fruit30_split/val/杨梅/50.jpg
-43.53147,-9.184283,387.49426,杨梅,杨梅,fruit30_split/val/杨梅/62.jpg
13.932596,102.872856,411.44482,杨梅,杨梅,fruit30_split/val/杨梅/71.jpg
-25.300482,145.95618,381.21622,杨梅,杨梅,fruit30_split/val/杨梅/75.jpg
-43.723953,65.7408,408.66544,杨梅,杨梅,fruit30_split/val/杨梅/81.jpeg
-55.60907,-12.91469,-209.85675,杨梅,杨梅,fruit30_split/val/杨梅/85.jpg
74.64187,107.00657,475.7714,杨梅,杨梅,fruit30_split/val/杨梅/86.jpg
97.41753,147.7095,372.6545,杨梅,杨梅,fruit30_split/val/杨梅/9.jpg
-23.65569,129.05333,446.71542,杨梅,杨梅,fruit30_split/val/杨梅/90.jpg
-85.51511,108.48638,349.0211,杨梅,杨梅,fruit30_split/val/杨梅/95.png
77.26304,-140.68623,-79.88432,柚子,柚子,fruit30_split/val/柚子/113.jpg
-39.060463,-266.12946,88.448105,柚子,柠檬,fruit30_split/val/柚子/114.jpg
17.947426,-169.69514,9.752838,柚子,桂圆,fruit30_split/val/柚子/119.jpg
-286.02527,213.75638,244.93164,柚子,梨,fruit30_split/val/柚子/132.jpg
55.53797,-336.4918,52.547375,柚子,柚子,fruit30_split/val/柚子/136.jpg
-25.914991,-86.81895,-70.059,柚子,柚子,fruit30_split/val/柚子/137.jpg
-97.484146,220.29572,212.4301,柚子,柚子,fruit30_split/val/柚子/150.jpg
193.77138,-168.20517,11.028912,柚子,柚子,fruit30_split/val/柚子/151.jpg
9.810013,-269.5813,52.4222,柚子,柚子,fruit30_split/val/柚子/154.jpg
94.078186,-190.91402,38.783306,柚子,柚子,fruit30_split/val/柚子/156.jpeg
-29.370941,-74.30622,-13.359037,柚子,柚子,fruit30_split/val/柚子/16.jpg
-9.709994,-386.50653,-6.843329,柚子,柚子,fruit30_split/val/柚子/165.jpeg
39.407692,-473.03928,-10.630503,柚子,柚子,fruit30_split/val/柚子/169.jpg
26.633743,-479.60825,61.46596,柚子,柚子,fruit30_split/val/柚子/171.jpg
-152.65497,-226.35785,115.905525,柚子,柚子,fruit30_split/val/柚子/175.jpg
-21.170815,-253.27104,122.72704,柚子,柚子,fruit30_split/val/柚子/177.jpg
30.946405,-261.45697,119.33975,柚子,柚子,fruit30_split/val/柚子/181.jpg
231.03136,-307.2673,159.8241,柚子,哈密瓜,fruit30_split/val/柚子/183.jpg
-138.15271,-25.34782,10.089295,柚子,苹果-青,fruit30_split/val/柚子/191.png
-51.68527,-183.80592,-80.53262,柚子,柚子,fruit30_split/val/柚子/193.jpg
-42.389706,-120.049515,-104.25274,柚子,柚子,fruit30_split/val/柚子/197.jpeg
-2.7840583,-303.8584,102.60016,柚子,柚子,fruit30_split/val/柚子/21.jpeg
-133.6009,232.00218,169.87817,柚子,柠檬,fruit30_split/val/柚子/26.jpg
-81.60444,-102.68364,-121.04741,柚子,梨,fruit30_split/val/柚子/30.jpg
-301.50937,196.4245,210.49118,柚子,柚子,fruit30_split/val/柚子/31.jpg
76.78863,-444.51538,19.662413,柚子,柚子,fruit30_split/val/柚子/49.jpg
-101.956154,-145.4106,-52.251537,柚子,柚子,fruit30_split/val/柚子/52.jpg
91.711006,-144.6386,-27.154604,柚子,柚子,fruit30_split/val/柚子/53.jpg
-5.019568,-159.3024,-100.84335,柚子,柚子,fruit30_split/val/柚子/56.jpg
79.29948,-439.59583,77.600136,柚子,柚子,fruit30_split/val/柚子/62.jpg
15.305473,-434.2048,32.927147,柚子,柚子,fruit30_split/val/柚子/66.png
101.53267,-475.6082,112.158714,柚子,柚子,fruit30_split/val/柚子/7.jpg
53.74935,-372.32364,66.76943,柚子,柚子,fruit30_split/val/柚子/8.jpg
19.371685,-57.49669,-49.774292,柚子,苹果-青,fruit30_split/val/柚子/81.jpg
-103.56153,-109.06008,-33.576504,柚子,梨,fruit30_split/val/柚子/86.jpg
-240.91077,-327.35406,-189.83226,柚子,柚子,fruit30_split/val/柚子/89.jpg
-15.938905,375.2206,-229.97253,柚子,柚子,fruit30_split/val/柚子/96.jpg
