类别,precision,recall,f1-score,support,AUC
哈密瓜,0.90625,0.7837837837837838,0.8405797101449275,37.0,0.9927045200820417
圣女果,0.9285714285714286,0.6842105263157895,0.7878787878787878,38.0,0.9946862348178137
山竹,1.0,0.8285714285714286,0.90625,35.0,0.999917819476784
杨梅,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0,0.9959238777682581
柚子,0.7567567567567568,0.7567567567567568,0.7567567567567567,37.0,0.9862917672715943
柠檬,0.7741935483870968,0.8275862068965517,0.7999999999999999,29.0,0.9913546563229347
桂圆,0.76,1.0,0.8636363636363636,38.0,0.9996963562753036
梨,0.8529411764705882,0.7837837837837838,0.8169014084507041,37.0,0.9962873536360567
椰子,0.9444444444444444,0.8947368421052632,0.918918918918919,38.0,0.9975961538461539
榴莲,0.935483870967742,0.8055555555555556,0.8656716417910448,36.0,0.9940552356579228
火龙果,1.0,0.9166666666666666,0.9565217391304348,36.0,0.999786734911495
猕猴桃,0.9696969696969696,0.8648648648648649,0.9142857142857144,37.0,0.9836955110730327
石榴,0.868421052631579,0.8918918918918919,0.88,37.0,0.9966508295038555
砂糖橘,0.8108108108108109,0.8571428571428571,0.8333333333333334,35.0,0.9977537323654294
胡萝卜,0.9411764705882352,0.8888888888888888,0.9142857142857144,36.0,0.9986404350607806
脐橙,0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0,0.989433237271854
芒果,0.75,0.8181818181818182,0.7826086956521738,33.0,0.991532550384225
苦瓜,1.0,0.7428571428571429,0.8524590163934427,35.0,0.9997808519380906
苹果-红,0.9117647058823528,0.8857142857142857,0.8985507246376812,35.0,0.9971510751951788
苹果-青,0.8222222222222222,1.0,0.902439024390244,37.0,0.9992990108263884
草莓,0.9210526315789472,0.9210526315789472,0.9210526315789472,38.0,0.9990890688259109
荔枝,0.875,0.9210526315789472,0.8974358974358975,38.0,0.9979504048582996
菠萝,0.9375,0.8108108108108109,0.8695652173913043,37.0,0.9983383960329206
葡萄-白,0.935483870967742,0.935483870967742,0.935483870967742,31.0,0.999691900052377
葡萄-红,0.7659574468085106,0.9473684210526316,0.8470588235294116,38.0,0.998582995951417
西瓜,0.8536585365853658,0.945945945945946,0.8974358974358975,37.0,0.9975595191733521
西红柿,0.7021276595744681,0.9166666666666666,0.7951807228915662,36.0,0.9930688846235871
车厘子,1.0,0.84375,0.9152542372881356,32.0,0.9988945984703633
香蕉,0.9705882352941176,0.9166666666666666,0.9428571428571428,36.0,0.9995734698229899
黄瓜,0.7608695652173914,1.0,0.8641975308641976,35.0,0.9990412272291467
macro avg,0.8771317971793485,0.8661528513280096,0.8667342589024346,1078.0,0.9961342802908518
weighted avg,0.877076625980827,0.8664192949907236,0.8667971256386008,1078.0,0.9961360355474471
