ID,class,wordnet,Chinese
0,tench,n01440764,丁鲷
1,goldfish,n01443537,金鱼
2,great_white_shark,n01484850,大白鲨
3,tiger_shark,n01491361,虎鲨
4,hammerhead,n01494475,锤头鲨
5,electric_ray,n01496331,电鳐
6,stingray,n01498041,黄貂鱼
7,cock,n01514668,公鸡
8,hen,n01514859,母鸡
9,ostrich,n01518878,鸵鸟
10,brambling,n01530575,燕雀
11,goldfinch,n01531178,金翅雀
12,house_finch,n01532829,家朱雀
13,junco,n01534433,灯芯草雀
14,indigo_bunting,n01537544,"靛蓝雀,靛蓝鸟"
15,robin,n01558993,蓝鹀
16,bulbul,n01560419,夜莺
17,jay,n01580077,松鸦
18,magpie,n01582220,喜鹊
19,chickadee,n01592084,山雀
20,water_ouzel,n01601694,河鸟
21,kite,n01608432,鸢（猛禽）
22,bald_eagle,n01614925,秃头鹰
23,vulture,n01616318,秃鹫
24,great_grey_owl,n01622779,大灰猫头鹰
25,European_fire_salamander,n01629819,欧洲火蝾螈
26,common_newt,n01630670,普通蝾螈
27,eft,n01631663,水蜥
28,spotted_salamander,n01632458,斑点蝾螈
29,axolotl,n01632777,"蝾螈,泥狗"
30,bullfrog,n01641577,牛蛙
31,tree_frog,n01644373,树蛙
32,tailed_frog,n01644900,"尾蛙,铃蟾蜍,肋蟾蜍,尾蟾蜍"
33,loggerhead,n01664065,红海龟
34,leatherback_turtle,n01665541,皮革龟
35,mud_turtle,n01667114,泥龟
36,terrapin,n01667778,淡水龟
37,box_turtle,n01669191,箱龟
38,banded_gecko,n01675722,带状壁虎
39,common_iguana,n01677366,普通鬣蜥
40,American_chameleon,n01682714,美国变色龙
41,whiptail,n01685808,鞭尾蜥蜴
42,agama,n01687978,飞龙科蜥蜴
43,frilled_lizard,n01688243,褶边蜥蜴
44,alligator_lizard,n01689811,鳄鱼蜥蜴
45,Gila_monster,n01692333,毒蜥
46,green_lizard,n01693334,绿蜥蜴
47,African_chameleon,n01694178,非洲变色龙
48,Komodo_dragon,n01695060,科莫多蜥蜴
49,African_crocodile,n01697457,"非洲鳄,尼罗河鳄鱼"
